ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
khanhlinhtran02,Khánh Linh 🎀,Việt Nam,90.6,93.0,97.6,"2,2M","1,1M","5,89%",9.000.000 VND,,"Hát nhép, Nhảy"
chang0000,🔆Chany🔆,Việt Nam,78.6,90.2,N/A,"9,6M",736K,"4,67%",42.112.000 VND,Tin tức và Giải trí,"Cuộc sống hàng ngày, Nhảy"
pobimatacc,Pô,Việt Nam,78.5,95.1,N/A,"1,1M","369,8K","7,68%",10.000.000 VND,"Ứng dụng, Làm đẹp và chăm sóc cá nhân, Dịch vụ đời sống, Mỹ phẩm","Nhảy, Hướng dẫn & mẹo làm đẹp"
hthuu_chuahecaolanh,Hoài Thu🏀,Việt Nam,78.0,95.8,N/A,"1,4M","333,6K","5,60%",6.674.099 VND,Thiết bị,Hướng dẫn & mẹo làm đẹp
honghotkinhte,Hóng Hớt Kinh Tế,Việt Nam,N/A,N/A,N/A,"1,6M","6,5K","1,62%",7.000.000 VND,Tin tức và Giải trí,Tin tức xã hội & Sự kiện
hoangminhngoc21,Hoàng Minh Ngọc,Việt Nam,80.8,99.3,N/A,"1,1M","54,2K","3,58%",40.000.000 VND,,"Trang phục, Hướng dẫn & mẹo làm đẹp"
nlinh_o0,Nhật Linh đời thường🩴,Việt Nam,95.5,97.2,99.2,"1,2M","139,4K","7,40%",6.000.000 VND,,"Hát nhép, Thiết kế & chăm sóc tóc, Hướng dẫn & mẹo làm đẹp"
lythehuong,Hương Lý 🌸,Việt Nam,78.6,94.4,N/A,"2,2M","45,5K","5,17%",4.917.207 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Dưỡng tóc","Trang phục, Du lịch, Cuộc sống hàng ngày"
haha_412,HAHA,Việt Nam,75.8,90.2,N/A,"3,8M","256,8K","6,24%",13.160.000 VND,Tin tức và Giải trí,"Hát nhép, Cuộc sống hàng ngày, Hài kịch"
phongbvb,Crows - Sáp Vuốt Tóc Cho Nam,Việt Nam,86.7,90.2,N/A,"866,9K","18,9K","11,43%",2.041.955 VND,,Thiết kế & chăm sóc tóc
babyiumii,Thích ăn cức Tuất 🍎,Việt Nam,77.7,N/A,N/A,"874,3K",1K,"17,95%",8.000.000 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Nhảy, Ảnh tự chụp, Hát nhép"
longandaxua,Lê Long An,Việt Nam,76.4,91.6,N/A,"3,3M","516,9K","6,19%",8.027.600 VND,"Thiết bị, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Nước hoa","Hài kịch, Cuộc sống hàng ngày"
ngtrongtam,✨Trọng Tâm ✨,Việt Nam,76.1,91.0,N/A,"1,4M","54,6K","1,68%",1.764.824 VND,"Thú cưng, Sản phẩm gia dụng, Thương mại điện tử (không dùng ứng dụng)","Bé, Cuộc sống hàng ngày, Gia đình"
wien_u,🍓,Việt Nam,76.6,91.1,N/A,"494,6K","45,1K","15,41%",4.414.749 VND,,"Ảnh tự chụp, Nhảy, Hướng dẫn & mẹo làm đẹp"
cheesememew,Chi Thối 🧀,Việt Nam,79.5,97.3,N/A,"500,7K","73,1K","13,83%",8.000.000 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Chăm sóc thú cưng
phannguyencaca,Phan Nguyễn Ca Ca,Việt Nam,77.2,N/A,N/A,"692,8K","4,8K","5,13%",1.907.703 VND,,"Ảnh tự chụp, Âm nhạc"
trannhattan4,Trần Nhật Tân,Việt Nam,93.6,91.6,95.2,"2,1M","425,1K","5,36%",18.000.000 VND,"Tin tức và Giải trí, May mặc & Phụ kiện, Trang phục và phụ kiện khác","Nhảy, Hát nhép"
bepbepkute,Hân Bẹp,Việt Nam,78.2,95.8,N/A,"838,2K","224,3K","9,49%",10.000.000 VND,,"Nhảy, Hoạt hình & Cosplay"
yeah1.trending,YeaH1 Trending,Việt Nam,76.4,N/A,N/A,"5,7M","57,9K","4,37%",335.001 VND,,Âm nhạc
mrbimax,Nguyễn Đăng Khoa,Việt Nam,81.0,94.4,N/A,"2,1M","906,1K","4,01%",25.558.830 VND,,"Thể thao truyền thống, Âm nhạc"
amon_912,Amon,Việt Nam,80.9,95.8,N/A,"566,6K","590,4K","9,90%",19.379.170 VND,"Sức khỏe, Công nghệ & Đồ điện tử, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Tiểu phẩm, Hài kịch, Hát nhép"
beduyzuize,Bé Duy,Việt Nam,79.3,95.1,N/A,"1,4M","15,3K","0,99%",2.431.185 VND,"Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác","Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
utta17.6.99,Út.Tạ,Việt Nam,79.4,93.0,N/A,"766,6K","7,5K","0,84%",1.401.430 VND,,"Ô tô, Nhảy, Hài kịch"
cindymiicute,Cindy,Việt Nam,94.8,92.4,98.4,"12,8M","25,8K","6,81%",30.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác","Nhảy, Hướng dẫn & mẹo làm đẹp"
monbosua_k4,Mon Bò Sữa 🌻,Việt Nam,88.4,91.8,N/A,"2,2M","182,1K","5,46%",6.000.000 VND,,Trò chơi điện tử
alithucphuong,Ali Thục Phương,Việt Nam,79.0,90.2,N/A,1M,"199,1K","5,32%",30.000.000 VND,Mẹ & Bé,"Cuộc sống hàng ngày, Âm nhạc"
moli.queen,MoliQueen,Việt Nam,77.4,N/A,N/A,"937,9K","8,9K","3,61%",2.498.550 VND,,Phim ảnh & Truyền hình
neko.land23,Neko Lê 👑,Việt Nam,72.8,N/A,N/A,"1,5M","212,4K","5,20%",13.160.000 VND,"Công nghệ & Đồ điện tử, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm",Hài kịch
lelien8x,🥀Cô Liên8x🥀,Việt Nam,76.6,90.9,N/A,"998,1K","75,6K","5,19%",4.022.180 VND,,"Cuộc sống sinh viên, Nhảy"
doublesunday,Duyên Trương,Việt Nam,88.2,94.4,92.0,"1,1M","37,9K","3,40%",10.000.000 VND,"Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm","Hướng dẫn & mẹo làm đẹp, Thiết kế & chăm sóc tóc"
di.thanhthanh,Di Di,Việt Nam,84.4,93.7,N/A,4M,"622,3K","5,23%",15.181.340 VND,,"Âm nhạc, Nhảy"
dailyglow.cheese,Em Cheese,Việt Nam,72.4,N/A,N/A,"1,1M","83,5K","3,33%",5.000.000 VND,Thực phẩm và Đồ uống,Hướng dẫn & mẹo làm đẹp
himachan.yum,Himá,Việt Nam,78.5,93.0,N/A,"896,1K",602K,"5,28%",40.419.950 VND,,"Cuộc sống hàng ngày, Hài kịch"
benvl97,🍀ᵜSưPℏụ✿,Việt Nam,77.5,90.9,N/A,"3,8M","201,3K","4,05%",5.000.000 VND,Game,"Hát nhép, Trò chơi điện tử, Cuộc sống hàng ngày"
anvuofficial,An Vũ,Việt Nam,75.4,N/A,N/A,"918,4K","122,8K","8,17%",5.173.400 VND,Tin tức và Giải trí,Âm nhạc
phanlocdz69,Lộc Cá Chép 🐟,Việt Nam,92.0,93.8,90.4,"2,2M","68,7K","3,79%",5.000.000 VND,,Trò chơi điện tử
khaicakhia99,Khải Cà Khịa,Việt Nam,75.2,N/A,N/A,"7,4M","1,5M","4,93%",43.300.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Dịch vụ đời sống, Chăm sóc da","Tiểu phẩm, Hài kịch"
hmeuu,Huyen Nguyen,Việt Nam,91.8,97.2,94.4,"1,2M","224,9K","6,44%",20.990.756 VND,"Thiết bị, Thương mại điện tử (không dùng ứng dụng), May mặc & Phụ kiện, Quần áo nữ","Trang phục, Hướng dẫn & mẹo làm đẹp"
cafef_official,CafeF,Việt Nam,75.8,N/A,N/A,"1,9M","35,8K","3,12%",5.152.202 VND,,Tin tức xã hội & Sự kiện
ngvanhieu_,Xiang,Việt Nam,78.7,97.2,N/A,"2,2M","1,3M","5,29%",30.418.859 VND,,
ngngocanh_98,Nguyễn Ngọc Ánh,Việt Nam,94.0,95.9,92.0,"771,1K","28,8K","7,31%",5.000.000 VND,,
tuongvyy,Tường Vyy ( Vê Vê ),Việt Nam,79.0,94.4,N/A,"11,9M","292,4K","8,12%",25.000.000 VND,,
thunglongfamily,Thủng Long Family (TLF),Việt Nam,76.7,91.6,N/A,"2,9M","91,2K","4,45%",8.118.964 VND,,
lytam2838,𝓟𝓪𝓼𝓽 𝓛𝓲𝓿𝓮𝓼,Việt Nam,77.7,91.0,N/A,"550,6K","61,1K","9,20%",3.373.159 VND,,
tyle1994,Ty Lê,Việt Nam,77.5,97.2,N/A,"3,9M","1,1M","3,50%",7.708.102 VND,,
16_nbt,Em Trâm,Việt Nam,85.2,98.6,N/A,"703,7K","637,8K","7,66%",51.579.890 VND,,
tofn.official,Trần Quốc Toàn,Việt Nam,77.4,93.7,N/A,"937,8K","549,2K","5,26%",7.000.000 VND,,
saigoncityview,Sài Gòn City View,Việt Nam,78.2,93.8,N/A,"661,5K",55K,"7,14%",2.477.785 VND,,
thinhung99,Thị Nhung,Việt Nam,96.8,96.5,100.0,"7,1M","959,2K","5,05%",20.000.000 VND,,
quynhgiao120786,KÌNH GIEO,Việt Nam,79.9,98.0,N/A,"771,2K","40,7K","13,28%",1.226.040 VND,,
mehuonghuong,Mẹ Hương Hương,Việt Nam,78.2,95.1,N/A,"2,9M","42,5K","4,15%",2.201.696 VND,,
dinh_vang,DínhVàng,Việt Nam,74.2,N/A,N/A,"1,7M","104,8K","3,42%",12.760.125 VND,,
taitc2000,TÀI TC 🇻🇳,Việt Nam,77.0,91.6,N/A,"1,8M","459,7K","3,59%",12.599.170 VND,,
rubybaoan04,ruby🧸,Việt Nam,76.9,N/A,N/A,"1,1M",63K,"7,29%",13.263.970 VND,,
vbiznews,Tin Tức Showbiz,Việt Nam,77.7,92.3,N/A,"886,5K","33,3K","5,47%",1.451.715 VND,Game,Tin tức giải trí
hungbavuatiente,Hùng Bá Vua Tiền Tệ,Việt Nam,75.2,N/A,N/A,"3,8M",32K,"2,37%",1.252.353 VND,"Tin tức và Giải trí, Thương mại điện tử (không dùng ứng dụng), Dịch vụ tài chính",Cuộc sống hàng ngày
truongdinhhoangboxing,Trương Đình Hoàng,Việt Nam,73.8,N/A,N/A,"1,6M","18,8K","4,06%",8.154.814 VND,"Thể thao và Hoạt động ngoài trời, Tin tức và Giải trí","Thể dục, Thể thao mạo hiểm"
nguyenminhtranggg,Nguyen Minh Trang,Việt Nam,75.6,90.9,N/A,"1,2M",553K,"5,06%",17.051.025 VND,"Tin tức và Giải trí, Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Hát nhép, Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày"
cdqtit99,tít ở trên tiktok 🌷,Việt Nam,78.1,96.5,N/A,883K,"840,7K","6,18%",25.883.384 VND,,"Du lịch, Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
linhbarbie,✨ Linh Barbie ✨,Việt Nam,75.6,90.2,N/A,"18,7M","415,3K","4,10%",30.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Nhảy
tinhnguyen241298,Tính Nguyễn,Việt Nam,76.6,N/A,N/A,3M,"273,7K","3,91%",12.447.275 VND,"Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Hài kịch
nhatkycuameichan,meichannnnn,Việt Nam,81.0,98.6,N/A,"958,4K","108,6K","6,55%",34.216.000 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Động lực cuộc sống, Trang phục"
vanquoctygamer,Văn Quốc Tỷ,Việt Nam,69.0,N/A,N/A,"4,9M","340,5K","5,41%",7.013.478 VND,,Trò chơi điện tử
vangiau.07,Nguyễn Văn Giàu,Việt Nam,92.0,97.2,N/A,"10,9M",329K,"2,82%",39.480.000 VND,,
hungrom97.official,Hùng Rơm,Việt Nam,73.6,N/A,N/A,"1,6M","947,3K","3,67%",19.740.000 VND,,
caocuongvu,caocuongvu,Việt Nam,77.1,91.6,N/A,4M,"142,3K","2,57%",15.000.000 VND,,
phun.anh,Phùn Anh,Việt Nam,88.8,97.2,N/A,"5,1M","46,9K","5,27%",6.000.000 VND,,
ngachan2701,NgaChan Asmr,Việt Nam,86.3,N/A,92.0,"3,5M","76,5K","2,65%",15.000.000 VND,,
truongphuongcherry,Trương Phương,Việt Nam,77.2,N/A,N/A,"1,3M",475K,"4,15%",21.012.083 VND,,
tnhadinh,Trương Nhã Dinh,Việt Nam,77.4,91.6,N/A,"2,5M","193,8K","2,57%",31.584.000 VND,,
littlebunnie17,Ngọc Phước,Việt Nam,78.4,91.6,N/A,"1,1M","95,6K","4,78%",3.677.035 VND,,
yuni_cabral,Yuni Boo🍓(Bé Dâu ),Việt Nam,69.8,N/A,N/A,"1,2M",58K,"3,86%",523.439 VND,,
co.mon520y,Bé Mon TV 🇻🇳,Việt Nam,89.0,N/A,96.0,"2,3M","248,3K","3,60%",200.000 VND,,
theanh28funfact,THEANH28 FUNFACT,Việt Nam,80.5,99.3,N/A,"3,8M","43,1K","7,87%",2.636.009 VND,,
yantv.yandigital,YAN TV,Việt Nam,72.2,N/A,N/A,"1,5M","13,5K","4,52%",7.000.000 VND,,
thiennhanreview,Thiện Nhân,Việt Nam,76.0,N/A,N/A,"1,4M","612,3K","3,53%",25.000.000 VND,,
seungthao,🇰🇷Seung Thảo🇻🇳,Việt Nam,77.1,91.6,N/A,"1,4M","649,2K","4,54%",17.202.645 VND,,
lucienguyenlove,Lucie nguyen,Việt Nam,77.9,91.6,N/A,"1,3M","823,6K","7,40%",24.658.905 VND,,
baohatinh,Báo Hà Tĩnh,Việt Nam,79.4,91.6,N/A,"1,1M",61K,"3,99%",1.500.000 VND,,
hangtrinh.luna,Luna.,Việt Nam,77.9,93.0,N/A,"1,3M","174,9K","4,61%",6.645.878 VND,,
cartops99999,Cartop Utra 4K,Việt Nam,80.0,97.4,N/A,"1,2M","2,9K","7,11%",484.512 VND,,
trumpan06live,Pan06🔥🇻🇳,Việt Nam,79.4,93.0,N/A,"1,2M","1,5M","5,13%",5.000.000 VND,,
datkaa0912,DatKaa 🎶,Việt Nam,73.7,N/A,N/A,"1,6M","613,2K","6,43%",25.005.783 VND,,
taodangthembuncha,lelinh,Việt Nam,76.5,94.4,N/A,"744,5K","150,8K","14,08%",70.000.000 VND,,
anhthu_duong,Anh Thư,Việt Nam,77.6,90.2,N/A,"843,7K","52,7K","8,56%",3.900.000 VND,,
cudau8,Củ Đậu Story,Việt Nam,80.2,95.1,N/A,"1,6M","49,4K","3,02%",10.000.000 VND,,
iam_bigboss.ss,Big Boss✅,Việt Nam,80.8,98.7,N/A,"370,1K",7K,"9,20%",200.000 VND,,
po.trann77,Trần Thanh Tâm,Việt Nam,80.4,93.7,N/A,"4,7M",338K,"4,25%",38.483.811 VND,"Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Dịch vụ đời sống, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Gia đình, Hướng dẫn & mẹo làm đẹp"
nhistore_iphone,Nhí Store,Việt Nam,75.5,N/A,N/A,"1,4M","235,6K","3,80%",13.917.283 VND,,"Ô tô, Cuộc sống hàng ngày"
iuoilaiu_000,Ridung.iuoilaiu,Việt Nam,72.9,N/A,N/A,"1,9M","511,6K","6,17%",5.007.720 VND,"Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Chăm sóc da",Hướng dẫn & mẹo làm đẹp
adorima_,Dori,Việt Nam,79.8,95.8,N/A,"968,7K","288,2K","5,55%",4.000.000 VND,,
tuishue,Ht,Việt Nam,80.0,96.5,N/A,"599,7K","355,7K","15,70%",80.000.000 VND,,Nhảy
hngbii18,Hùng Bii,Việt Nam,78.8,93.8,N/A,"847,9K","51,8K","6,67%",4.459.051 VND,,"Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
kenkhenh68,Ken Khểnh,Việt Nam,92.5,90.2,92.0,4M,"239,6K","4,46%",10.000.000 VND,,"Cuộc sống hàng ngày, Nhà cửa & Vườn tược, Hài kịch"
williamjobe2,William家伙🇨🇳,Việt Nam,77.4,100.0,N/A,"2,6M","67,1K","14,53%",1.088.537 VND,,"Ảnh tự chụp, Thể dục"
tamlyhocwgia,Khoan Ngôn Psychology,Việt Nam,75.0,90.2,N/A,"750,7K","466,1K","13,02%",22.707.853 VND,,
hkd.2002,Huỳnh Khánh Đông,Việt Nam,75.9,91.6,N/A,"4,2M",2M,"3,96%",17.000.000 VND,,"Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày"
maum.nrhee10,Maum Nrhee og,Việt Nam,81.6,97.3,N/A,"566,4K",38K,"10,14%",7.733.895 VND,,"Hát nhép, Hướng dẫn & mẹo làm đẹp"
garancg,Gà Rán Chiên Giòn,Việt Nam,92.8,99.3,N/A,"3,9M","73,4K","4,62%",4.000.000 VND,Game,"Trò chơi điện tử, Chất nhờn ma quái, ASMR & Thẩm mỹ"
vietanhpipo_,Butin đang tắm,Việt Nam,78.6,97.2,N/A,"1,3M","214,6K","10,82%",8.120.395 VND,Thú cưng,Chăm sóc thú cưng
baokhuyensusan,Bảo Khuyên,Việt Nam,79.1,97.2,N/A,"1,6M","868,3K","5,78%",24.989.831 VND,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm","Hát nhép, Mukbang & Nếm thức ăn, Nhảy"
tuhuyenvlog,Tú Mai,Việt Nam,91.2,N/A,90.4,2M,"203,5K","4,39%",5.398.554 VND,,"Cuộc sống hàng ngày, Mukbang & Nếm thức ăn"
befansie,Fansie Family,Việt Nam,77.9,93.0,N/A,"2,3M","647,4K","3,62%",30.379.412 VND,"Ứng dụng, Thương mại điện tử (không dùng ứng dụng), Mẹ & Bé",Gia đình
tuyenxutv,Tuyền Xu TV,Việt Nam,90.3,N/A,96.0,"3,9M","101,5K","3,12%",15.000.000 VND,"Ứng dụng, Game, Dịch vụ đời sống","Hướng dẫn & mẹo làm đẹp, Tình yêu & Mối quan hệ lãng mạn, Trò chơi điện tử"
chengtom02,Cheng🦐,Việt Nam,77.8,94.4,N/A,"5,4M","992,6K","7,66%",48.393.565 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày, Gia đình"
theforumcenter,Huy Forum,Việt Nam,91.0,97.9,N/A,"1,3M","82,4K","11,91%",6.650.257 VND,"Tin tức và Giải trí, Giáo dục","Chăm sóc thú cưng, Cuộc sống hàng ngày"
150k_freeship,Bảo bảo có mặt lần thứ n,Việt Nam,92.0,97.9,97.6,900K,202K,"17,12%",10.503.202 VND,,Hài kịch
vuongkhanh0305,Vương Khánh,Việt Nam,76.1,90.9,N/A,"2,5M","360,6K","4,57%",160.000 VND,"Thiết bị, Tin tức và Giải trí, Dịch vụ đời sống",Hài kịch
hungcamdayne,Hùng Cam Đây Nè,Việt Nam,90.2,91.6,94.4,2M,"77,2K","4,65%",1.000.000 VND,Game,"Trò chơi điện tử, Tin tức thể thao"
denisdang,DENIS DANG,Việt Nam,75.3,N/A,N/A,3M,"32,3K","6,63%",962.391 VND,Tin tức và Giải trí,"Âm nhạc, Phim ảnh & Truyền hình"
sau2_004,Sâu Hết Content 🐛,Việt Nam,80.8,96.6,N/A,"1,1M","146,3K","9,47%",5.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Mỹ phẩm",Nhảy
animexd1650,Animexd1650™,Việt Nam,79.7,100.0,N/A,"856,4K","194,4K","23,35%",2.632.000 VND,,"Trò chơi điện tử, Hoạt hình & Cosplay"
hlinh_bun,Bún bò Huế 🍲,Việt Nam,95.5,97.2,97.6,"1,1M","198,1K","11,34%",10.000.000 VND,,"Hát nhép, Nhảy"
phudb2003,Tường Hồng Phú,Việt Nam,75.7,90.2,N/A,"1,8M","670,9K","8,27%",5.499.991 VND,Tin tức và Giải trí,Hài kịch
nghggkhanh,khanhpink,Việt Nam,80.4,100.0,N/A,"1,1M","56,6K","7,69%",9.644.892 VND,,"Trang phục, Ảnh tự chụp, Hướng dẫn & mẹo làm đẹp"
sammy.becool,Sammy 🍆,Việt Nam,80.8,95.1,N/A,"2,1M","565,2K","9,11%",5.264.000 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Thương mại điện tử (không dùng ứng dụng)",Nấu ăn & Công thức nấu ăn
lhdieu,Lê Huyền Diệu,Việt Nam,77.6,93.0,N/A,"2,9M","108,8K","8,32%",18.377.071 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Ảnh tự chụp, Hát nhép"
showdown.trends,Showdown Trends,Việt Nam,77.0,90.6,N/A,"443,9K","4,7K","4,52%",523.526 VND,,"Tin tức thể thao, Hài kịch, Tin tức xã hội & Sự kiện"
doangiabao0304,Bảo đây nè,Việt Nam,79.3,90.9,N/A,"925,8K","279,3K","5,17%",10.000.000 VND,"Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Hài kịch
huynhmy075,Huỳnh My,Việt Nam,78.3,93.8,N/A,"1,1M","65,5K","2,96%",1.285.601 VND,,"Mukbang & Nếm thức ăn, Cuộc sống hàng ngày"
miainkorea,Mia In Korea,Việt Nam,77.5,95.1,N/A,"1,4M","434,9K","5,09%",21.136.408 VND,"Thực phẩm và Đồ uống, Mẹ & Bé","Nấu ăn & Công thức nấu ăn, Gia đình, Mukbang & Nếm thức ăn"
ngohainam96,Hải Nam,Việt Nam,79.8,96.5,N/A,"1,8M","232,4K","10,10%",3.266.174 VND,,"Âm nhạc, Nhảy"
_khaihuyen_89,🇻🇳Khải Huyền🇻🇳,Việt Nam,78.1,92.7,N/A,"2,3M","20,8K","3,93%",630.208 VND,,"Công việc & Sự nghiệp, Cuộc sống hàng ngày, Tin tức xã hội & Sự kiện"
lingggtit,linhtitxinh,Việt Nam,76.3,93.0,N/A,"876,4K","192,6K","11,51%",70.000.000 VND,,Nhảy
haluatsu,Luật sư Hà🇻🇳,Việt Nam,73.6,N/A,N/A,"4,3M",378K,"3,40%",34.281.689 VND,Dịch vụ kinh doanh,Nhân văn & Khoa học
longr_yt,LongR TV,Việt Nam,80.0,97.2,N/A,"1,3M","1,5M","4,42%",10.000.000 VND,,"Đồ chơi & Sưu tầm, Trò chơi điện tử"
kieuduylong16,Kiều Duy Long,Việt Nam,76.1,N/A,N/A,"2,7M","138,5K","5,60%",18.329.907 VND,,Mukbang & Nếm thức ăn
chloedo198,Ngân thứt làm đẹp 💅🏻,Việt Nam,90.9,94.4,N/A,"773,3K","59,3K","6,14%",1.513.140 VND,,"Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
vyphamofficial,Vy Phạm,Việt Nam,77.4,92.3,N/A,"1,5M","428,3K","5,51%",6.967.831 VND,,Gia đình
jujubabi_,J U L I A,Việt Nam,79.4,98.7,N/A,"700,5K","61,3K","12,80%",5.500.000 VND,Tin tức và Giải trí,Hoạt hình & Cosplay
ngdiuthen,Công Chúa Đá,Việt Nam,77.9,93.0,N/A,"837,9K",389K,6%,60.000.000 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Nhảy, Hướng dẫn & mẹo làm đẹp"
meous99,Mèo Us,Việt Nam,77.0,93.0,N/A,"5,1M","1,9M","4,52%",15.000.000 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Cải tạo nhà cửa, Mỹ phẩm","Ảnh tự chụp, Thể dục, Gia đình"
thuycoluong,ThuyCoLuong 💎,Việt Nam,77.5,94.4,N/A,"1,1M","450,7K","5,12%",9.580.866 VND,"Dịch vụ kinh doanh, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Hài kịch
hanact,HANA CẨM TIÊN,Việt Nam,76.8,90.2,N/A,"2,9M","424,4K","4,81%",7.000.000 VND,,
taocuaff,Tào Cua,Việt Nam,80.7,97.9,N/A,"1,2M","199,8K","7,29%",5.000.000 VND,,
kamuitv,Kamui TV,Việt Nam,92.9,93.0,97.6,"2,1M",1M,"4,26%",15.000.000 VND,,
thaido1254,Thái Độ,Việt Nam,75.6,94.4,N/A,2M,"845,5K","10,18%",30.000.000 VND,,
ducanh94,ĐỨC ANH ⭐️,Việt Nam,83.6,N/A,N/A,6M,"370,2K","4,61%",40.000.000 VND,,
mikeden,Mike Đen,Việt Nam,93.6,97.9,92.0,"4,3M","288,6K","5,93%",30.000.000 VND,,
thaodangyeuuu04,NTヽMèoSợYêu❀,Việt Nam,93.7,94.4,95.2,"4,4M",386K,"6,81%",25.000.000 VND,,
stsonthach,ST Sơn Thạch,Việt Nam,89.8,93.8,98.4,"1,7M","89,6K","5,82%",5.703.428 VND,,
ducreaction,Đức Reaction,Việt Nam,75.0,91.0,N/A,"1,4M","257,7K","7,37%",20.000.000 VND,,
metroichetnhe12334,hachimi,Việt Nam,82.2,98.6,N/A,"556,5K",37K,"21,73%",1.000.000 VND,,
vgttv.star,VGT TV - Sao Việt,Việt Nam,76.7,N/A,N/A,2M,"18,4K","1,92%",10.000.000 VND,,
bingsu511,Đa tài thiểu nghệ 🌹,Việt Nam,82.6,98.6,N/A,"632,9K",95K,"9,71%",6.037.735 VND,,
tuquy2ne,TỨ QUÝ 2,Việt Nam,78.1,93.0,N/A,"639,5K","59,8K","8,44%",6.201.594 VND,,
yanpink98,Yanpink,Việt Nam,78.6,95.8,N/A,"1,7M","790,5K","4,02%",10.000.000 VND,,
yanna9x,Yanna,Việt Nam,76.1,N/A,N/A,3M,"39,4K","3,40%",4.341.055 VND,,
mellyvuong,Melly Vuong,Việt Nam,76.6,97.2,N/A,"981,1K","223,5K","18,73%",35.000.000 VND,,
hoangbao0112,hbao,Việt Nam,80.8,97.9,N/A,"474,3K","111,2K","14,94%",10.000.000 VND,,
harburgery,Harry,Việt Nam,76.9,N/A,N/A,"1,1M","484,4K","7,67%",13.530.696 VND,,
ducli_duli,Đức và Ly,Việt Nam,79.8,97.9,N/A,868K,"240,2K","7,09%",4.629.716 VND,,
tocvang.hoe,Tóc Vàng hoe,Việt Nam,79.8,N/A,N/A,"2,4M","1,3M","4,44%",4.000.000 VND,,
cu0ngca0,Cường Cao,Việt Nam,N/A,N/A,N/A,"1,7M","894,7K","3,49%",16.173.555 VND,,
chanh.n77,Chanh noe,Việt Nam,93.4,98.6,97.6,"483,4K","212,9K","17,59%",5.000.000 VND,,
nguyenxuanhung1997,Xuân Hùng Dịch Nhạc,Việt Nam,81.6,97.2,N/A,"509,9K","168,3K","11,94%",3.617.777 VND,,
__lyhan__,LYHAN,Việt Nam,76.4,97.2,N/A,"2,2M","486,7K","10,94%",15.119.784 VND,,
